programme,source_folder,total_major_units,requirement_structure,competency,status,curriculum_evidence,interpretation,source_pdf,limitations
X & Aerospace Science and Earth Informatics Double Major Programme[a],X及航天科学与地球信息学双主修课程,90,"required courses, major electives, streams/specializations",Research and methodological ability,Core,"9. For Physics as 1st Major, all Major Required (excluding PHY1910 ), Research Component and","Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",X+ASEI study scheme for CUHKSZ_2025-26 and thereafter_Circular(AB2025_C047)_8.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
X & Aerospace Science and Earth Informatics Double Major Programme[a],X及航天科学与地球信息学双主修课程,90,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,"9. For Physics as 1st Major, all Major Required (excluding PHY1910 ), Research Component and; 9. 以物理學為第一主修，其所有列於第一主修課程要求的必修科目(除 PHY1910 之外)、",The programme prepares students for specialized disciplinary or professional domains.,X+ASEI study scheme for CUHKSZ_2025-26 and thereafter_Circular(AB2025_C047)_8.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
X & Aerospace Science and Earth Informatics Double Major Programme[a],X及航天科学与地球信息学双主修课程,90,"required courses, major electives, streams/specializations",Practical application and industry readiness,Supporting / Optional,"Field Trips: ASEI1090, COOP1001, 2001, EESC1009, 2009, 2119, 2129,","The curriculum includes applied, professional, practice-oriented, or workplace-facing training.",X+ASEI study scheme for CUHKSZ_2025-26 and thereafter_Circular(AB2025_C047)_8.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
X & Interdisciplinary Data Analytics Double Major Programme[a],X及跨学科数据分析双主修课程,90,"required courses, major electives, streams/specializations",Practical application and industry readiness,Supporting / Optional,"ii) Field Trips: COOP1001, 2001","The curriculum includes applied, professional, practice-oriented, or workplace-facing training.",X & Interdisciplinary Data Analytics Double Major Programme_2025-26 and thereafter_3rd(2025)_20250714_0_0.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
临床医学,临床医学,222,programme requirements and course list,Foundational disciplinary knowledge,Supporting / Optional,GFH1000 GE Foundation: In Dialogue with; GFN1000 GE Foundation: In Dialogue with,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme_Clinical Medicine_2023-24 and thereafter_1st(2025)_20250120.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
临床医学,临床医学,222,programme requirements and course list,Research and methodological ability,Supporting / Optional,MED4500 - Selected Study Modules II (Medical Research) 24,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme_Clinical Medicine_2023-24 and thereafter_1st(2025)_20250120.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
临床医学,临床医学,222,programme requirements and course list,"Communication, writing, and presentation",Core,MED3200 - Communication Skills I 1; MED4200 - Communication Skills II 1; MED4210 - Communication Skills III 1; MED4220 - Communication Skills IV 1,"The curriculum cultivates academic, professional, or public communication abilities.",Study Scheme_Clinical Medicine_2023-24 and thereafter_1st(2025)_20250120.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
临床医学,临床医学,222,programme requirements and course list,Domain-specific professional knowledge,Core,MED1021 - Biochemistry and Organic Chemistry I 2; MED1022 - Biochemistry and Organic Chemistry II 2; MED1031 - Medicine and Modern Technology I 2; MED1032 - Medicine and Modern Technology II 2; MED2040 - Microbiology 2,The programme prepares students for specialized disciplinary or professional domains.,Study Scheme_Clinical Medicine_2023-24 and thereafter_1st(2025)_20250120.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
临床医学,临床医学,222,programme requirements and course list,Practical application and industry readiness,Core,MED1100 - Bioethics and Professionalism I 1; MED2100 - Bioethics and Professionalism II 1; MED3020 - Junior Medical Practice 12; MED3021 - Junior Surgical Practice 12; MED3100 - Bioethics and Professionalism III 1,"The curriculum includes applied, professional, practice-oriented, or workplace-facing training.",Study Scheme_Clinical Medicine_2023-24 and thereafter_1st(2025)_20250120.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Artificial Intelligence,人工智能,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,AIE1001 Introduction to AI Programming 人工智能編程導論 3; AIE2040 Statistical Foundations for AI 人工智能統計基礎 3; MGT2020 Principles of Management 管理學原理 3; AIE2001 Introduction to Cognitive Science 認知科學導論 3; ECE3300 Introduction to AI Infrastructure 人工智能基礎架構導論 3,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study scheme - AI_2025-26 and thereafter_Senate20251008.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Artificial Intelligence,人工智能,72,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Core,MAT1001 Calculus I 微積分（一） 3; MAT1011 Honours Calculus I 微積分榮譽課程（一） 3; MAT1002 Calculus II 微積分（二） 3; MAT1012 Honours Calculus II 微積分榮譽課程（二） 3; MAT2040 Linear Algebra 線性代數 3,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",Study scheme - AI_2025-26 and thereafter_Senate20251008.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Artificial Intelligence,人工智能,72,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Supporting / Optional,AIE2040 Statistical Foundations for AI 人工智能統計基礎 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",Study scheme - AI_2025-26 and thereafter_Senate20251008.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Artificial Intelligence,人工智能,72,"required courses, major electives, streams/specializations",Programming and computing ability,Core,"AIE1001 Introduction to AI Programming 人工智能編程導論 3; AIE1003 Ethics in AI, Data and Algorithms 人工智能、數據與演算法倫理 2; CSC3200 Data Structures and Advanced; AIE3002 AI and Quantum Computing 人工智能與量子計算 3",Students are expected to use computational tools or programming to solve disciplinary problems.,Study scheme - AI_2025-26 and thereafter_Senate20251008.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Artificial Intelligence,人工智能,72,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Core,"AIE1001 Introduction to AI Programming 人工智能編程導論 3; AIE1901 AI Exploration I 人工智能探索（一） 2; AIE1902 AI Exploration II 人工智能探索（二） 2; AIE2040 Statistical Foundations for AI 人工智能統計基礎 3; AIE1003 Ethics in AI, Data and Algorithms 人工智能、數據與演算法倫理 2","The programme includes data-centric, digital, analytics, or AI-related training.",Study scheme - AI_2025-26 and thereafter_Senate20251008.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Artificial Intelligence,人工智能,72,"required courses, major electives, streams/specializations",Research and methodological ability,Core,AIE4901 AI Capstone Project I 人工智能畢業設計（一） 2; AIE4902 AI Capstone Project II 人工智能畢業設計（二） 2,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study scheme - AI_2025-26 and thereafter_Senate20251008.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Artificial Intelligence,人工智能,72,"required courses, major electives, streams/specializations","Communication, writing, and presentation",Supporting / Optional,AIE3005 Signal Analysis and Representation 信息分析與表徵 3,"The curriculum cultivates academic, professional, or public communication abilities.",Study scheme - AI_2025-26 and thereafter_Senate20251008.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Artificial Intelligence,人工智能,72,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,CHM1001 General Chemistry 普通化學 3; MGT2020 Principles of Management 管理學原理 3; AIE1004 AI Regulation and Governance 人工智能規管與治理 2; CHM2310 Organic Chemistry I 有機化學 (一) 3; MSE2001 Chemical Foundation for Materials 材料的化學基礎 3,The programme prepares students for specialized disciplinary or professional domains.,Study scheme - AI_2025-26 and thereafter_Senate20251008.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Artificial Intelligence,人工智能,72,"required courses, major electives, streams/specializations",Practical application and industry readiness,Core,AIE3901 AI Practicum I 人工智能實踐（一） 2; AIE3902 AI Practicum II 人工智能實踐（二） 2; AIE4100 Industrial Practice/Internship 業界實習 3,"The curriculum includes applied, professional, practice-oriented, or workplace-facing training.",Study scheme - AI_2025-26 and thereafter_Senate20251008.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Professional Accountancy,会计学,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,MGT2020 Principles of Management 管理原理 3; ACT3131 Accounting Theory 會計理論 3; FIN2020 Foundation of Finance 金融學基礎 3,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,study_scheme_-_acct_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Professional Accountancy,会计学,72,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Core,STA2001 Probability and Statistics I 概率及統計（一） 3; BMA2020 Mathematical Modeling and; ECO3211 Quantitative Methods for Policy,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",study_scheme_-_acct_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Professional Accountancy,会计学,72,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Core,ECO2121 Introductory Statistics 統計學導論 3; STA2001 Probability and Statistics I 概率及統計（一） 3; ECO3121 Introductory Econometrics 計量經濟學導論 3; BMA3002 Statistical Learning for Business 商業統計學習 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",study_scheme_-_acct_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Professional Accountancy,会计学,72,"required courses, major electives, streams/specializations",Programming and computing ability,Supporting / Optional,BMA2010 Programming for Business 商業編程 3,Students are expected to use computational tools or programming to solve disciplinary problems.,study_scheme_-_acct_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Professional Accountancy,会计学,72,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Core,ACT4221 Data Analytics for Management; ACT4244 Artificial Intelligence for Accounting; ACT4311 Data Mining for Accounting; ACT4321 Accounting Database and Data; BMA3001 Data Analytics for Business 商業數據分析 3,"The programme includes data-centric, digital, analytics, or AI-related training.",study_scheme_-_acct_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
