section,programme,programme_url,picked_pdf_title,picked_pdf_url,year_score,local_path,status
Major Programmes,大数据管理与应用,https://registry.cuhk.edu.cn/page/363,study_scheme_-_bma_2026-27_and_thereafter_1st2026_260121.pdf,https://registry.cuhk.edu.cn/sites/default/files/2026-06/study_scheme_-_bma_2026-27_and_thereafter_1st2026_260121.pdf,"(2026, 2006, 0)",outputs\registry_curricula\Major Programmes\大数据管理与应用\study_scheme_-_bma_2026-27_and_thereafter_1st2026_260121.pdf,downloaded
Major Programmes,经济学,https://registry.cuhk.edu.cn/page/65,study_scheme_-_econ_2026-27_and_thereafter_1st2026_260121.pdf,https://registry.cuhk.edu.cn/sites/default/files/2026-06/study_scheme_-_econ_2026-27_and_thereafter_1st2026_260121.pdf,"(2026, 2006, 0)",outputs\registry_curricula\Major Programmes\经济学\study_scheme_-_econ_2026-27_and_thereafter_1st2026_260121.pdf,downloaded
Major Programmes,金融学,https://registry.cuhk.edu.cn/page/64,study_scheme_-_fina_2026-27_and_thereafter_1st2026_260121.pdf,https://registry.cuhk.edu.cn/sites/default/files/2026-06/study_scheme_-_fina_2026-27_and_thereafter_1st2026_260121.pdf,"(2026, 2006, 0)",outputs\registry_curricula\Major Programmes\金融学\study_scheme_-_fina_2026-27_and_thereafter_1st2026_260121.pdf,downloaded
Major Programmes,国际商务,https://registry.cuhk.edu.cn/page/66,study_scheme_-_gbs_2026-27_and_thereafter_1st2027_260121.pdf,https://registry.cuhk.edu.cn/sites/default/files/2026-06/study_scheme_-_gbs_2026-27_and_thereafter_1st2027_260121.pdf,"(2026, 2006, 0)",outputs\registry_curricula\Major Programmes\国际商务\study_scheme_-_gbs_2026-27_and_thereafter_1st2027_260121.pdf,downloaded
Major Programmes,市场营销,https://registry.cuhk.edu.cn/page/67,study_scheme_-_mktg_2026-27_and_thereafter_1st2026_260121.pdf,https://registry.cuhk.edu.cn/sites/default/files/2026-06/study_scheme_-_mktg_2026-27_and_thereafter_1st2026_260121.pdf,"(2026, 2006, 0)",outputs\registry_curricula\Major Programmes\市场营销\study_scheme_-_mktg_2026-27_and_thereafter_1st2026_260121.pdf,downloaded
Major Programmes,会计学,https://registry.cuhk.edu.cn/page/63,study_scheme_-_acct_2026-27_and_thereafter_1st2026_260121.pdf,https://registry.cuhk.edu.cn/sites/default/files/2026-06/study_scheme_-_acct_2026-27_and_thereafter_1st2026_260121.pdf,"(2026, 2006, 0)",outputs\registry_curricula\Major Programmes\会计学\study_scheme_-_acct_2026-27_and_thereafter_1st2026_260121.pdf,downloaded
Major Programmes,电子与计算机工程,https://registry.cuhk.edu.cn/page/275,Study Scheme - ECE_2024-25_3rd(2025)_20250714.pdf,https://registry.cuhk.edu.cn/sites/default/files/2025-09/Study%20Scheme%20-%20ECE_2024-25_3rd%282025%29_20250714.pdf,"(2025, 2025, 0)",outputs\registry_curricula\Major Programmes\电子与计算机工程\Study Scheme - ECE_2024-25_3rd(2025)_20250714.pdf,downloaded
Major Programmes,电子信息工程,https://registry.cuhk.edu.cn/page/61,Study Scheme - EIE_2020-21 and 2021-22_3rd(2025)_20250714.pdf,https://registry.cuhk.edu.cn/sites/default/files/2025-07/Study%20Scheme%20-%20EIE_2020-21%20and%202021-22_3rd%282025%29_20250714.pdf,"(2025, 2025, 0)",outputs\registry_curricula\Major Programmes\电子信息工程\Study Scheme - EIE_2020-21 and 2021-22_3rd(2025)_20250714.pdf,downloaded
Major Programmes,材料科学与工程,https://registry.cuhk.edu.cn/page/289,Study Scheme - MSE_2024-25 and thereafter_Circular(AB2025_C047).pdf,https://registry.cuhk.edu.cn/sites/default/files/2025-09/Study%20Scheme%20-%20MSE_2024-25%20and%20thereafter_Circular%28AB2025_C047%29.pdf,"(2025, 2009, 0)",outputs\registry_curricula\Major Programmes\材料科学与工程\Study Scheme - MSE_2024-25 and thereafter_Circular(AB2025_C047).pdf,downloaded
Major Programmes,数学与应用数学,https://registry.cuhk.edu.cn/page/59,Study Scheme - MATH_2024-25 and thereafter_Circular (AB2025_C015).pdf,https://registry.cuhk.edu.cn/sites/default/files/2025-06/Study%20Scheme%20-%20MATH_2024-25%20and%20thereafter_Circular%20%28AB2025_C015%29.pdf,"(2025, 2006, 0)",outputs\registry_curricula\Major Programmes\数学与应用数学\Study Scheme - MATH_2024-25 and thereafter_Circular (AB2025_C015).pdf,downloaded
